origID,order,trial,probeNumber,response,mw_response,mw_intent,condition,passage
12533364,Physical first,10,24,On Task,0,NA,Digital,6
12533364,Physical first,11,25,Unintentional,1,0,Digital,8
12533364,Physical first,12,26,On Task,0,NA,Digital,8
12533364,Physical first,13,27,On Task,0,NA,Digital,8
12533369,Physical first,1,1,On Task,0,NA,Physical,1
12533369,Physical first,2,2,On Task,0,NA,Physical,1
12533369,Physical first,3,3,On Task,0,NA,Physical,1
12533369,Physical first,4,4,On Task,0,NA,Physical,1
12533369,Physical first,5,5,Unintentional,1,0,Physical,1
12533369,Physical first,6,6,On Task,0,NA,Physical,1
12533369,Physical first,7,7,Intentional,1,1,Physical,1
12533369,Physical first,8,8,On Task,0,NA,Physical,3
12533369,Physical first,9,9,Unintentional,1,0,Physical,3
12533369,Physical first,10,10,Intentional,1,1,Physical,5
12533369,Physical first,11,11,On Task,0,NA,Physical,5
12533369,Physical first,12,12,Unintentional,1,0,Physical,5
12533369,Physical first,13,13,Unintentional,1,0,Physical,7
12533369,Physical first,14,14,Intentional,1,1,Physical,7
12533369,Physical first,1,15,On Task,0,NA,Digital,2
12533369,Physical first,2,16,Intentional,1,1,Digital,2
12533369,Physical first,3,17,On Task,0,NA,Digital,4
12533369,Physical first,4,18,On Task,0,NA,Digital,4
12533369,Physical first,5,19,On Task,0,NA,Digital,4
12533369,Physical first,6,20,On Task,0,NA,Digital,4
12533369,Physical first,7,21,On Task,0,NA,Digital,6
12533369,Physical first,8,22,Unintentional,1,0,Digital,6
12533369,Physical first,9,23,Intentional,1,1,Digital,6
12533369,Physical first,10,24,On Task,0,NA,Digital,6
12533369,Physical first,11,25,Unintentional,1,0,Digital,8
12533369,Physical first,12,26,Unintentional,1,0,Digital,8
12533369,Physical first,13,27,On Task,0,NA,Digital,8
12533373,Physical first,1,1,On Task,0,NA,Physical,1
12533373,Physical first,2,2,On Task,0,NA,Physical,1
12533373,Physical first,3,3,On Task,0,NA,Physical,1
12533373,Physical first,4,4,On Task,0,NA,Physical,1
12533373,Physical first,5,5,On Task,0,NA,Physical,1
12533373,Physical first,6,6,On Task,0,NA,Physical,1
12533373,Physical first,7,7,On Task,0,NA,Physical,1
12533373,Physical first,8,8,On Task,0,NA,Physical,3
12533373,Physical first,9,9,Unintentional,1,0,Physical,3
12533373,Physical first,10,10,Unintentional,1,0,Physical,5
12533373,Physical first,11,11,Intentional,1,1,Physical,5
12533373,Physical first,12,12,Unintentional,1,0,Physical,5
12533373,Physical first,13,13,On Task,0,NA,Physical,7
12533373,Physical first,14,14,On Task,0,NA,Physical,7
12533373,Physical first,1,15,On Task,0,NA,Digital,2
12533373,Physical first,2,16,Unintentional,1,0,Digital,2
12533373,Physical first,3,17,On Task,0,NA,Digital,4
12533373,Physical first,4,18,On Task,0,NA,Digital,4
12533373,Physical first,5,19,On Task,0,NA,Digital,4
12533373,Physical first,6,20,On Task,0,NA,Digital,4
12533373,Physical first,7,21,On Task,0,NA,Digital,6
12533373,Physical first,8,22,Unintentional,1,0,Digital,6
12533373,Physical first,9,23,Unintentional,1,0,Digital,6
12533373,Physical first,10,24,Unintentional,1,0,Digital,6
12533373,Physical first,11,25,On Task,0,NA,Digital,8
12533373,Physical first,12,26,Unintentional,1,0,Digital,8
12533373,Physical first,13,27,Unintentional,1,0,Digital,8
12533376,Physical first,1,1,On Task,0,NA,Physical,1
12533376,Physical first,2,2,Unintentional,1,0,Physical,1
12533376,Physical first,3,3,On Task,0,NA,Physical,1
12533376,Physical first,4,4,Intentional,1,1,Physical,1
12533376,Physical first,5,5,On Task,0,NA,Physical,1
12533376,Physical first,6,6,Intentional,1,1,Physical,1
12533376,Physical first,7,7,On Task,0,NA,Physical,1
12533376,Physical first,8,8,On Task,0,NA,Physical,3
12533376,Physical first,9,9,Unintentional,1,0,Physical,3
12533376,Physical first,10,10,Unintentional,1,0,Physical,5
12533376,Physical first,11,11,On Task,0,NA,Physical,5
12533376,Physical first,12,12,Intentional,1,1,Physical,5
12533376,Physical first,13,13,On Task,0,NA,Physical,7
12533376,Physical first,14,14,Unintentional,1,0,Physical,7
12533376,Physical first,1,15,Unintentional,1,0,Digital,2
12533376,Physical first,2,16,Unintentional,1,0,Digital,2
