Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-u6qh,checkpoint-wwj4,checkpoint-75d5,branch-2gum,branch-dg21,branch-5lq7,Randomise questionnaire elements?,Question Key,Response
1,1734920279504,23/12/2024 02:17:59,1734920279419,0,23/12/2024 02:17:59,202242,3,questionnaire-7oy7,,42170155,BLIND,12314886,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x813,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1734920288767,23/12/2024 02:18:08,1734920288609,0,23/12/2024 02:18:08,202242,3,questionnaire-7oy7,,42170155,BLIND,12314886,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x813,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Age,19
3,1734920288867,23/12/2024 02:18:08,1734920288611,0,23/12/2024 02:18:08,202242,3,questionnaire-7oy7,,42170155,BLIND,12314886,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x813,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender,Woman
4,1734920288867,23/12/2024 02:18:08,1734920288611,0,23/12/2024 02:18:08,202242,3,questionnaire-7oy7,,42170155,BLIND,12314886,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x813,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-quantised,2
5,1734920288867,23/12/2024 02:18:08,1734920288611,0,23/12/2024 02:18:08,202242,3,questionnaire-7oy7,,42170155,BLIND,12314886,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x813,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-text,
6,1734920288867,23/12/2024 02:18:08,1734920288611,0,23/12/2024 02:18:08,202242,3,questionnaire-7oy7,,42170155,BLIND,12314886,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x813,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand,Right
7,1734920288867,23/12/2024 02:18:08,1734920288611,0,23/12/2024 02:18:08,202242,3,questionnaire-7oy7,,42170155,BLIND,12314886,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x813,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand-quantised,2
8,1734920288867,23/12/2024 02:18:08,1734920288611,0,23/12/2024 02:18:08,202242,3,questionnaire-7oy7,,42170155,BLIND,12314886,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x813,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education,Yes
9,1734920288867,23/12/2024 02:18:08,1734920288612,0,23/12/2024 02:18:08,202242,3,questionnaire-7oy7,,42170155,BLIND,12314886,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x813,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education-quantised,1
10,1734920288867,23/12/2024 02:18:08,1734920288612,0,23/12/2024 02:18:08,202242,3,questionnaire-7oy7,,42170155,BLIND,12314886,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1440x900,1440x813,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual,Yes
